Coo_tpi,Coo_app,Roo_outward,productCode,reporter,FtaScope,Roo_packaging,Roo_fungible,FtaCode,Roo_exhibitions,Roo_wo,FtaName,Coo_valid,Coo_comp,Roo_indir,RooCode_1,Coo_exmptcoo,RooText_1,Roo_demin,Coo_pen,FtaId,RooCode_0,Coo_err,Roo_rvcformula,Coo_ver,Roo_accum,Coo_refund,Preferential,RooText_0,FtaType,partner,Roo_trans,Coo_coo,Coo_retention,FtaStatusDate,rank,Roo_sets,MFN,Roo_mo,Roo_draw,Coo_sup,Roo_roll,Roo_accessories,Roo_terr,Coo_adv,ProductAffected_0,Coo_approved,ProductAffected_1,FtaStatusDesc
provided,provided,not included,8703900000,842,"Plurilateral, Country-Country",included,materials & final goods,ITC00902,not included,,US-Mexico-Canada Agreement (USMCA),4 years (for multiple shipments),not provided,included,CTH and RVC 75%,included (less than US$1000),"A change to any other good of subheading 8703.21 through 8703.90 from any other heading, provided there is a regional value content of not less than 75 percent under the net cost method.",included (10%),provided,872,CTH and RVC 62.5%,provided,build down / net cost,Indirect,diagonal and full,within 1 year,,"A change to a motor vehicle with a compression-ignition engine, a three or four-wheeled motorcycle, a motorhome or motorhome entertainer, or a vehicle solely or principally for off-road use of subheading 8703.21 through 8703.90 from any other heading, provided there is a regional value content of not less than 62.5 percent under the net cost method",Free trade agreement,484,included,self-certification,5 years,01.07.2020,4,included (RVC 93%),,,prohibition,,included,included,included,within 120 days,"For a motor vehicle with a compression-ignition engine, a three or four-wheeled motorcycle, a motorhome or motorhome entertainer, or a vehicle solely or principally for off-road use of subheading 8703.21 through 8703.90 ",included,For any other good of subheading 8703.21 through 8703.90 ,IN FORCE
,,,8703900000,764,,,,,,,,,,,,,,,,94,,,,,,,,,,608,,,,,4,,,,,,,,,,,,,
,,,8703900000,757,,,,,,,,,,,,,,,,337,,,,,,,,,,352,,,,,5,,,,,,,,,,,,,
,,,8703900000,554,,,,,,,,,,,,,,,,852,,,,,,,,,,152,,,,,2,,,,,,,,,,,,,
not provided,provided,not included,8703900000,757,"Plurilateral, Country-Group",included,materials only,ITC00332,included,provided,"FTA, EFTA-Canada",12 months (for multiple shipments),not provided,included,,amount not specified,,included (10%),provided,326,(CTH + ECT) or (CTH + ALW 50%),not provided,import content,Indirect,diagonal and full,included,,"A change to heading 87.03 through 87.04 from any heading outside that group, except from heading 87.06 or A change to heading 87.03 through 87.04 from heading 87.06, whether or not there is also a change from any other heading outside that group, provided that the value of the non-originating materials of heading 87.06 does not exceed 50 % of the transaction value or ex-works price of the product.",Free trade agreement,124,included,self-certification,3 years,01.07.2009,4,included (RVC 75%),,provided,not included,not provided,included,included,not included,not provided,,included,,IN FORCE
provided,provided,not included,8703900000,604,"Plurilateral, Country-Country",included,materials & final goods,ITC00882,not included,provided,CPTPP,1 year (for multiple shipments),not provided,included,,included (less than US$1000),,included (10%),provided,852,RVC 45/55%,provided,build up / build down / focused value / import content / net cost,Direct,diagonal and full,within 1 year,,"No change in tariff classification required for a good of heading 87.02 through 87.05, provided there is a regional value content of not less than: (a) 45 per cent under the net cost method; or (b) 55 per cent under the build-down method.",Free trade agreement,036,included,self-certification/authorized body,5 years,19.09.2021,3,included (RVC 90%),,not provided,not included,provided,included,included,included,within 150 days,,included,,IN FORCE
,,,8703900000,156,,,,,,,,,,,,,,,,68,,,,,,,,,,156,,,,,4,,,,,,,,,,,,,
not provided,not provided,not included,8703900000,144,"Plurilateral, Country-Country",included,not included,ITC00069,included,provided,APTA (formerly Bangkok Agreement),1 year,provided,not included,,not included,,not included,not provided,68,RVC 45% (35% for APTA LDCs),provided,import content,Indirect,diagonal,not included,,"(a) Within the meaning of Rule 1(b), products worked on or processed as a result of which the total value of the materials, parts or produce originating from nonParticipating States or of undetermined origin used does not exceed 55 per cent of the f.o.b. value of the products produced or obtained and the final process of manufacture is performed within the territory of the exporting Participating State shall be eligible for preferential concessions, subject to the provisions of Rule 3(c), (d) and (e). RULE 10: Special criteria percentage Products originating in least developed Participating States can be allowed a favorable 10 percentage points applied to the percentages established in Rules 3 and 4. Thus, for Rule 3, the percentage would not exceed 65 percent, and for Rule 4, the percentage would not be less than 50 percent.",Partial scope agreement,156,included,authorized body,2 years,01.01.2002,2,not included,,provided,not included,provided,not included,not included,not included,not provided,,not included,,IN FORCE
provided,not provided,not included,8703900000,764,"Plurilateral, Country-Group",included,materials only,ITC00144,not included,provided,"EPA, ASEAN-Japan",1 year (for single shipment),not provided,included,,included (less than JPY 200000 or USD 200),,included (7 or 10%),provided,139,RVC 40%,provided,build down,Indirect,bilateral,within 12 months,,RVC 40%,Free trade agreement,392,included,authorized body,3 years,01.06.2009,5,not included,,provided,not included,provided,included,included,included,not provided,,not included,,IN FORCE
provided,provided,not included,8703900000,704,"Plurilateral, Country-Country",included,materials & final goods,ITC00882,not included,provided,CPTPP,1 year (for multiple shipments),not provided,included,,included (less than US$1000),,included (10%),provided,852,RVC 45/55%,provided,build up / build down / focused value / import content / net cost,Direct,diagonal and full,within 1 year,,"No change in tariff classification required for a good of heading 87.02 through 87.05, provided there is a regional value content of not less than: (a) 45 per cent under the net cost method; or (b) 55 per cent under the build-down method.",Free trade agreement,392,included,self-certification/authorized body,5 years,14.01.2019,3,included (RVC 90%),,not provided,not included,provided,included,included,included,within 150 days,,included,,IN FORCE
